192,160
192,193
193,42
42,122
122,126
126,171
171,71
71,31
71,86
86,179
179,86
86,31
126,51
51,171
51,25
25,81
51,86
25,179
81,35
35,190
190,58
98,58
58,110
110,145
145,108
108,114
114,10
114,104
103,104
10,103
9,10
104,21
21,9
21,127
127,95
95,185
185,133
144,133
185,198
198,18
18,112
112,169
169,36
36,80
80,199
199,83
83,62
62,143
143,191
191,49
49,50
50,131
131,24
24,163
50,163
163,140
140,141
141,142
142,28
142,129
129,34
34,125
125,44
44,39
39,14
14,144
131,155
155,206
4,1
1,0
0,206
55,0
172,55
118,172
107,118
106,107
101,106
13,101
161,13
165,161
153,89
89,165
87,153
201,87
159,201
138,82
82,4
137,90
90,138
177,82
152,177
121,152
189,121
27,189
113,27
139,113
119,139
202,119
23,202
23,166
166,132
132,158
158,61
61,154
154,147
147,158
147,17
78,147
154,67
164,17
164,78
78,67
67,148
148,94
148,78
94,148
94,120
120,43
43,175
175,29
29,54
54,73
73,197
197,105
105,115
115,116
116,92
174,182
182,135
195,6
6,186
186,99
117,99
117,59
59,60
60,16
16,40
40,72
72,41
96,60
96,16
160,96
59,192
88,182
88,157
174,157
92,174
116,92
72,63
47,76
76,63
76,200
46,47
92,46
63,92
33,92
183,33
22,183
5,22
159,5
11,91
91,167
64,91
167,68
68,79
79,124
124,151
151,97
95,97
97,136
3,136
136,65
66,3
196,66
194,116
116,37
37,204
204,20
20,77
77,168
168,74
74,45
45,23
182,174
182,135
135,75
75,26
26,70
70,87
29,30
30,204
204,180
180,183
183,135
135,2
2,149
149,203
203,205
205,134
134,184
184,38
38,176
176,128
128,156
156,111
111,196
57,91
53,57
26,53
52,70
56,52
105,195
202,93
96,146
146,15
15,12
12,115
47,7
7,194
194,12
31,66
66,178
178,65
65,84
84,64
64,91
91,187
187,85
85,123
123,69
69,196
196,88
88,157
157,170
170,8
8,41
41,160
206,11
167,24
36,80
82,177
177,152
152,121
121,189
189,27
27,139
139,119
119,202
202,166
17,23
17,132
162,164
164,17
48,162
100,48
173,100
109,173
30,188
188,32
32,109
63,92
